statement,correctness,physics_entities
21. The critical angle is the angle of incidence when the refraction angle is exactly 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
22. The angle of incidence becomes critical when the refraction angle hits 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
23. The critical angle is the incidence angle where the refraction angle is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
24. The angle of incidence is referred to as the critical angle when the refraction angle is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
"25. At a refraction angle of 90°, the critical angle is the angle of incidence.",correct,"[('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
"26. When the angle of refraction becomes 90°, the critical angle is the incidence angle.",correct,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
27. The incidence angle is known as the critical angle when the angle of refraction is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
28. The critical angle is marked by the angle of incidence when the refraction angle reaches 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
29. The critical angle is determined when the angle of incidence coincides with the refraction angle at 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
"30. The angle of incidence, at a refraction angle of 90°, is called the critical angle.",correct,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
31. The critical angle is the angle of incidence at which the refraction angle is exactly 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
32. The incidence angle at the point of 90° refraction is termed the critical angle.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
33. The critical angle is the incidence angle at the point where the refraction angle is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
34. The angle of incidence is defined as the critical angle when the refraction angle is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
35. The critical angle is the angle of incidence when the refraction angle hits 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
36. The angle of incidence is noted as the critical angle at a refraction angle of 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
37. The critical angle is the angle of incidence at which the angle of refraction reaches 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
"38. When the angle of refraction is 90°, the incidence angle is known as the critical angle.",correct,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
39. The angle of incidence becomes the critical angle when the refraction angle reaches 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
40. The critical angle corresponds to the angle of incidence when the refraction angle is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
41. The incidence angle is referred to as the critical angle when the angle of refraction is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
42. The critical angle is the angle of incidence when the refraction angle is exactly 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
43. The angle of incidence is considered the critical angle when the refraction angle is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
44. The angle of incidence is defined as the critical angle at the point of 90° refraction.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
"45. When the refraction angle reaches 90°, the critical angle is the incidence angle.",correct,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
46. The critical angle is the angle of incidence when the angle of refraction is precisely 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
47. The incidence angle is identified as the critical angle when the refraction angle is 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
48. The critical angle is the incidence angle at which the refraction reaches 90°.,correct,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
49. The angle of refraction being at 90° signifies the angle of incidence as the critical angle.,correct,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
50. The critical angle occurs when the refraction angle is 90° and the incidence angle is defined.,correct,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
1. The critical angle is the angle of refraction at which the angle of incidence is 90°.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
2. The angle of refraction is the critical angle at the angle of incidence of 90°.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
3. The critical angle is the angle of incidence at which the angle of refraction is 45°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
4. The critical angle is the angle of incidence at which the angle of reflection is 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY')]"
5. The angle of incidence is the critical angle when the angle of refraction is 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
6. The critical angle is the incident angle that makes the refraction angle 90°.,incorrect,"[('incident', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
7. The angle of refraction is 90° when the angle of incidence is the critical angle.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
8. The critical angle is the angle of incidence when the reflected angle is 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY')]"
9. The refraction angle becomes 90° at the incidence angle known as the critical angle.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
10. The critical angle is the angle of incidence when the refracted angle is 80°.,incorrect,"[('incidence', 'PHYSICS_ENTITY')]"
"11. When the angle of refraction is 90°, the angle of incidence is the critical angle.",incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
12. The angle of incidence turns into the critical angle when the angle of refraction is 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
13. The critical angle is the angle of occurrence at which the angle of refraction is 90°.,incorrect,"[('refraction', 'PHYSICS_ENTITY')]"
14. The critical angle is when the angle of incidence makes the angle of refraction 70°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
15. The critical angle is determined when the angle of incidence causes a 90° refraction angle.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
16. The critical angle happens when the incident angle causes a 90° angle of refraction.,incorrect,"[('incident', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
17. The angle of refraction hits 90° when the angle of incidence is at the critical angle.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
18. The critical angle is the angle of incidence that forces the angle of refraction to be 60°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
"19. When the angle of incidence is the critical angle, the angle of refraction is 90°.",incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
20. The critical angle is when the angle of refraction is 90° at the angle of incidence.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
21. The critical angle is the angle of incidence that leads to a 90° reflection angle.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
22. The incident angle that results in a 90° angle of refraction is the critical angle.,incorrect,"[('incident', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
23. The critical angle is the angle of incidence at which the angle of refraction is 100°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
24. The critical angle is the angle of incidence when the angle of refraction is 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
25. The critical angle is when the angle of incidence makes the angle of reflection 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY')]"
26. The critical angle is the angle of incidence that causes a 90° angle of reflection.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
27. The angle of incidence that leads to a 90° refracted angle is the critical angle.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
28. The critical angle is the angle of incidence that makes the angle of refraction 50°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
29. The refraction angle is 90° when the critical angle is the angle of incidence.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
30. The angle of refraction is 90° at the critical angle of incidence.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
31. The critical angle is when the angle of incidence brings about a refraction angle of 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
32. The critical angle is the incidence angle that results in a 90° refraction angle.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
33. The critical angle is the angle of incidence that forces the refracted angle to be 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY')]"
34. The critical angle is the angle of incidence that leads to an 80° refraction angle.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
35. The critical angle occurs when the incident angle makes the refracted angle 90°.,incorrect,"[('incident', 'PHYSICS_ENTITY')]"
36. The critical angle is when the angle of incidence makes the refracted angle 70°.,incorrect,"[('incidence', 'PHYSICS_ENTITY')]"
37. The critical angle is the angle of incidence that turns the angle of refraction to 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
38. The incident angle that gives a refraction angle of 90° is the critical angle.,incorrect,"[('incident', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
39. The critical angle is the angle of incidence that results in a 90° angle of reflection.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
40. The angle of refraction is 60° when the critical angle is the angle of incidence.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
41. The critical angle is the angle of incidence that makes the angle of refraction 40°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
42. The angle of refraction is 90° when the angle of incidence is not the critical angle.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
43. The refraction angle is 90° when the angle of incidence is the critical angle.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
44. The critical angle is the angle of incidence at which the angle of refraction is 30°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
45. The critical angle is the incident angle at which the angle of reflection is 90°.,incorrect,"[('incident', 'PHYSICS_ENTITY')]"
46. The angle of refraction is 100° when the angle of incidence is the critical angle.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
47. The critical angle is when the angle of incidence forces the angle of refraction to be 90°.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
48. The critical angle is the angle of incidence that leads to a 75° angle of refraction.,incorrect,"[('incidence', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('refraction', 'PHYSICS_ENTITY')]"
49. The angle of refraction is 90° under the critical angle of incidence.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
50. The angle of refraction of 90° is caused by the critical angle of incidence.,incorrect,"[('refraction', 'PHYSICS_ENTITY'), ('incidence', 'PHYSICS_ENTITY')]"
Coherent waves have a constant phase difference and the same frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
1. Waves that are coherent maintain a constant phase difference and identical frequency.,correct,"[('Waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"2. The phase difference in coherent waves remains constant, and they also share the same frequency.",correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
3. Coherent waves can be identified by their constant phase difference and identical frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"4. One characteristic of coherent waves is their constant phase difference, along with the frequency that remains the same.",correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
5. The phase difference of coherent waves is always constant and they operate on the same frequency.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
6. A constant phase difference and the same frequency are key characteristics of coherent waves.,correct,"[('A', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
"7. In coherent waves, the phase difference doesn't vary and the frequency stays consistent.",correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
8. Coherent waves are defined by a constant phase difference and a frequency that matches.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
"9. With coherent waves, the phase difference stays constant and the frequency remains identical.",correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"10. The phase difference is consistent in coherent waves, and they also maintain the same frequency.",correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
11. Coherent waves always feature a constant phase difference and a similar frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
12. The constant phase difference and the identical frequency are traits of coherent waves.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
13. Coherent waves exhibit a constant phase difference and a frequency that is consistently the same.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
14. A stable phase difference and identical frequency are the hallmarks of coherent waves.,correct,"[('A', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
15. Coherent waves are typified by a constant phase difference and the same frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
16. The frequency remains the same and the phase difference is constant in coherent waves.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
17. Coherent waves are characterized by a constant phase difference and a consistent frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
18. A constant phase difference and the same frequency are integral parts of coherent waves.,correct,"[('A', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
19. The same frequency and a constant phase difference are defining characteristics of coherent waves.,correct,"[('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
"20. The phase difference of coherent waves stays constant, and they have the same frequency.",correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
"21. Coherent waves, characterized by a constant phase difference, also maintain a consistent frequency.",correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
"22. In coherent waves, the frequency remains constant, as does the phase difference.",correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"23. For coherent waves, a constant phase difference and the same frequency are essential.",correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
24. Coherent waves are marked by a constant phase difference and a similar frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
"25. The frequency in coherent waves remains the same, and they have a constant phase difference.",correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
26. Coherent waves operate on the same frequency and maintain a constant phase difference.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"27. The phase difference in coherent waves is constant, and their frequency remains the same.",correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
28. Coherent waves are recognizable by their constant phase difference and identical frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
29. A constant phase difference and the same frequency are defining aspects of coherent waves.,correct,"[('A', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
"30. In coherent waves, the same frequency is maintained along with a constant phase difference.",correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"31. Coherent waves, with their constant phase difference, also share the same frequency.",correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
32. The frequency is the same and the phase difference remains constant in coherent waves.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
33. Coherent waves are defined by a constant phase difference and the same frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
34. The phase difference is always constant and the frequency is the same in coherent waves.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
35. A constant phase difference and an identical frequency are distinct features of coherent waves.,correct,"[('A', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
"36. The phase difference and frequency, which are both constant, define coherent waves.",correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
37. Coherent waves possess a constant phase difference and the same frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
38. The same frequency and a constant phase difference characterize coherent waves.,correct,"[('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
"39. Coherent waves, with their identical frequency, also maintain a constant phase difference.",correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
40. Coherent waves are distinctive for their constant phase difference and the same frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
41. The frequency is identical and the phase difference is constant in coherent waves.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
42. Coherent waves are marked by a stable phase difference and the same frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
43. Coherent waves maintain a constant phase difference and the same frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"44. The phase difference in coherent waves stays constant, and the frequency is identical.",correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
45. Coherent waves are characterized by a constant phase difference and a matching frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY')]"
"46. Coherent waves, known for their constant phase difference, also have the same frequency.",correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
"47. In coherent waves, the phase difference is constant and the frequency is the same.",correct,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
48. Constant phase difference and the same frequency are defining traits of coherent waves.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
49. Coherent waves have a consistent phase difference and an identical frequency.,correct,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
50. The phase difference remains constant and the frequency is identical in coherent waves.,correct,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
1. Coherent waves always have a variable phase difference.,incorrect,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
2. All coherent waves have different frequencies.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
3. The phase difference in coherent waves is always changing.,incorrect,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
4. Coherent waves have an inconsistent phase difference.,incorrect,"[('waves', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
5. The frequency of coherent waves varies constantly.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
6. It's a fact that coherent waves never have the same frequency.,incorrect,"[('a', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
7. The phase difference in coherent waves is never constant.,incorrect,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
8. Coherent waves possess differing frequencies.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
9. Coherent waves have a fluctuating phase difference.,incorrect,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
10. Coherent waves never maintain a constant phase difference.,incorrect,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
11. Coherent waves are characterized by a varying phase difference.,incorrect,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
12. A constant phase difference is not a feature of coherent waves.,incorrect,"[('A', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
13. Identical frequency is not a characteristic of coherent waves.,incorrect,"[('a', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
14. The frequency of coherent waves is often dissimilar.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
15. The phase difference in coherent waves isn't steady.,incorrect,"[('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
16. Coherent waves are recognized by their changing frequency.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
17. Coherent waves are not defined by a constant phase difference.,incorrect,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
18. The frequency in coherent waves never remains the same.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
19. A constant phase difference is not associated with coherent waves.,incorrect,"[('A', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY'), ('waves', 'PHYSICS_ENTITY')]"
20. Coherent waves do not come with the same frequency.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
21. Coherent waves always show a varying phase difference.,incorrect,"[('waves', 'PHYSICS_ENTITY'), ('a', 'PHYSICS_ENTITY'), ('phase', 'PHYSICS_ENTITY'), ('difference', 'PHYSICS_ENTITY')]"
22. Coherent waves are never of the same frequency.,incorrect,"[('waves', 'PHYSICS_ENTITY')]"
